,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
12,Acumatica,_Series_C,42,71,10000000,Developer Tools,178,39,19,0.235955056,0.45505618,1.112359551,0.595505618,112.3595506,1.033707865,0.58988764,0.685393258,0.08988764,0.140449438,0.552804292,1.068661049,1.381379007,1.010890988,34.33640396,1.385554515,1.011408923,0.489332663,0.286827551,0.348432844,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.043922479,0.076601414,0.0,0.1,3.866964175545463,11.256197654399054,8.96546514569928,4.119513485276995,3.082132557553209,0.1504532119193205,0.2721966385782203,0.574669356646461,0.3484863045361708,38.675674554687305,0.5403361096748092,0.34353080352381943,0.6519549825546498,0.06607323346545749,0.0777236319936684,0.3222345526227338,0.5458658601796893,0.6653534340178373,0.7534210512158379,1.5983053800847569,0.6609451761968445,0.7683260541555252,1.6515859760057199,0.26202329632373145,0.2585243942179937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701693255053082,0.0,0.05185570381782245,0.10255353320592336,0.0,0.14662797948349038,16.11809565095832
13,AdMeld,_Series_C,7,42,15000000,-,177,136,63,0.039548023,0.237288136,0.751412429,0.333333333,105.4180791,0.644067797,0.327683616,0.525423729,0.152542373,0.118644068,0.246834089,0.564246774,1.074133231,0.645497224,39.39723846,1.04058624,0.644003592,0.500769823,0.360565811,0.324286582,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.020985861,0.041653745,0.0,0.076923077,2.111502714214265,8.704481780960352,8.950091932667597,5.705532980783572,4.326639794797709,0.036310929772010135,0.17666822256637568,0.45895926004291443,0.23927381764847225,36.92414982875349,0.409512185025629,0.2350333068880493,0.5048725999892903,0.09303447836155067,0.07113620413920381,0.18785277814896678,0.37375838852404825,0.582579489011289,0.5255144609274718,1.6177213578141942,0.568429476211743,0.5316578896295576,1.7369714333848145,0.3226581442242214,0.24498900454065006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701693255053082,0.0,0.022707922421941577,0.048752921990413575,0.0,0.10311252423683483,16.523560759066484
14,AdReady,_Series_C,16,13,5300000,Billing,166,137,70,0.096385542,0.078313253,0.801204819,0.228915663,112.6927711,0.759036145,0.228915663,0.728915663,0.018072289,0.174698795,0.352117674,0.291099563,1.096660935,0.994838817,30.57720792,1.068449587,0.994838817,0.459256348,0.133615984,0.380858161,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.02380955,0.02843333,0.0,0.044444444,2.892952062832003,4.666646415467974,8.77622320773868,5.715247714710486,4.439031554571154,0.07888254096271669,0.07047586605961553,0.4773043087018391,0.18041812032822813,38.75895153152093,0.4535473178902972,0.17966564269162066,0.6915336510902929,0.016916312434434054,0.08587131453042664,0.24270130443629861,0.23023255814520038,0.5893204108532233,0.7441238587376794,1.5808862653235582,0.5768473648716893,0.7583669473908111,1.442141591958125,0.12781584222878045,0.2759572743738417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701693255053082,0.0,0.026039918514940513,0.03164644142324303,0.0,0.052576719113217596,15.483217378522351
15,AdScale,_Series_B,8,6,6150000,Advertising,183,330,180,0.043715847,0.032786885,0.37704918,0.93442623,106.442623,0.360655738,0.93442623,0.573770492,0.153005464,0.071038251,0.230268277,0.178566925,0.633252578,1.524908779,30.90922082,0.629829566,1.524908779,0.538384327,0.360980403,0.257593499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.032199158,0.059751738,0.049079755,0.079754601,2.233041350915166,2.9368374574888985,9.041309756249984,6.914702254108038,5.462353438967678,0.039788629837105155,0.031336342259009886,0.28496762581248286,0.4401402279101655,37.184730206998076,0.27266951297691266,0.4348994099858899,0.5496012889836572,0.09319524428154347,0.051452811318419264,0.1781452677767976,0.15359367107791655,0.42086168332704293,1.024234142896571,1.582550364896993,0.4173260065577904,1.0508590109165432,2.0417224666784595,0.32299249844279754,0.20490801732213024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.03635393633784075,0.0749583025207304,0.05909905126852381,0.10808735074737834,15.631962639782701
16,Adaptiveblue,_Series_B,2,0,4520000,Celebrity,201,590,240,0.009950249,0.0,0.313432836,0.024875622,91.31343284,0.308457711,0.019900498,0.457711443,0.129353234,0.0,0.099501244,0.0,0.596882448,0.185413348,29.8586046,0.595296657,0.172052289,0.547222748,0.336428417,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.022425277,0.037413499,0.0,0.088235294,1.1075182856746335,0.0,9.301296040651646,7.744151380342638,5.779055735750215,0.00973442920988574,0.0,0.2469590475069001,0.024176231534766047,33.25767835064697,0.24167552954611632,0.019442362759334062,0.44180091804725263,0.08433270733076602,0.0,0.08842400287463188,0.0,0.4043039254147185,0.17322087029561206,1.5771910219698402,0.40171981780563626,0.16217097847855574,2.1189345729961397,0.30306829064074015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.024397862915600314,0.04308758857149084,0.0,0.12358312684262801,15.324022551808413
17,Adaptivity,_Series_B,24,54,3000000,Software,174,290,118,0.137931034,0.540229885,0.511494253,0.327586207,126.4712644,0.494252874,0.32183908,0.683908046,0.011494253,0.0,0.592289841,2.39848024,1.110842547,0.72258202,28.11345268,1.105671801,0.721178433,0.502105063,0.106900945,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.018014394,0.042837969,0.0,0.023529412,3.296131677871103,9.857843652677417,8.903551180098935,6.734225443228406,5.001527905734279,0.10432579227199197,0.2995992009247937,0.35605476028074345,0.2363129362982461,42.14280111088367,0.34302004729236785,0.23202821211969427,0.6506011721392037,0.01101814980193871,0.0,0.33497984619198745,0.7684980859629997,0.593503282812209,0.576687947441871,1.5676417990882057,0.5878029810031875,0.5843706522277167,1.7471540052724943,0.10313657790921316,0.0,0.0,0.020367962058793442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.019275116316261817,0.0503662051287616,0.0,0.02570627156137091,14.914122846632385
18,Addepar,_Series_B,163,112,50000000,,206,164,92,1.106796117,0.757281553,1.587378641,0.383495146,113.2087379,1.533980583,0.349514563,0.485436893,0.126213592,0.0,5.132227437,2.879586757,1.372068377,0.798486017,39.32863565,1.37088566,0.786579354,0.520114015,0.374285965,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.032131043,0.056892601,0.032,0.072,5.295605895350565,13.958715602231486,9.370191832790177,5.955248532647888,4.73233596775924,0.26839530311654614,0.3532305933099269,0.6831373909952816,0.26390897336857805,38.88775869031643,0.6539504164121389,0.24598652711144864,0.467687816533553,0.08304964306248475,0.0,0.6233133645500563,0.8139437544324599,0.6631057130315623,0.6253472467351012,1.6174833669421294,0.6574704317908834,0.627701859642443,1.8889870524620687,0.33368541686532327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.0362676427680737,0.07059123810376736,0.03610174657434006,0.09469242039815663,17.72753356339242
19,AdzCentral,_Series_A,37,93,3200000,Hardware + Software,196,1,0,0.18877551,0.663265306,0.93877551,0.566326531,150.255102,0.913265306,0.540816327,0.908163265,0.0,0.0,0.640573886,3.071603198,0.676587615,0.883285693,56.72042299,0.66226306,0.873171259,0.323022098,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.026577684,0.047021171,0.005617978,0.061797753,3.736452111067353,12.796115323641168,9.231012963989976,0.7074663335665838,0.0,0.1303525197634792,0.33240726627241923,0.5237005171793203,0.3384148503860914,47.742701235861155,0.5050538923361961,0.3265229502395782,0.8527319992179738,0.0,0.0,0.3495308135639945,0.8293210708858229,0.43981697331997377,0.6778354859335749,1.663214427079571,0.43149093690757745,0.6833195888670289,0.7269817708101403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008274484021510913,0.0,0.0,0.0,0.0,0.20486466516246088,0.0,0.0,0.0,0.029373695881896655,0.056175770750790964,0.005737334768337581,0.07813789812316053,14.978661367769956
20,AdzCentral,_Series_B,101,109,3200000,Hardware + Software,210,2,1,0.523809524,0.561904762,0.776190476,0.385714286,118.9142857,0.704761905,0.380952381,0.9,0.0,0.0,1.249652492,1.271128117,1.421773528,0.71134734,47.78122277,1.379437577,0.7037963,0.358759159,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.040123872,0.054602813,0.021164021,0.037037037,4.785577413611177,13.783432550423987,9.424350023611067,1.134873065305249,0.697705719516204,0.22249379230811359,0.3059095989339637,0.4681999911669946,0.2649510802563635,40.30096048585372,0.4334281237288838,0.2610429248621179,0.8454510369292031,0.0,0.0,0.46933923434645697,0.5950264377274027,0.6749405985705093,0.5693432668634023,1.642835643764432,0.6595005306446424,0.5726516216636502,0.8819242279006555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008274484021510913,0.0,0.0,0.0,0.0,0.0,0.4211235568238228,0.0,0.0,0.046688944978814644,0.06715689240671607,0.02291612685979524,0.04259290540648869,14.978661367769956
21,Aereo,_Series_A,11,61,20500000,,206,0,0,0.053398058,0.368932039,0.247572816,0.247572816,115.6553398,0.213592233,0.247572816,0.388349515,0.0,0.0,0.246067821,1.510873056,0.55159983,0.542684324,35.3049799,0.516091983,0.542684324,0.508138827,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.029705468,0.054646052,0.029126214,0.072815534,2.5307812762737596,10.461394754358729,9.370191832790177,0.0,0.0,0.047634024692378166,0.23949214489852436,0.20408431735673677,0.19177622261773275,39.49623101959256,0.17921670549367066,0.1909210548778909,0.376650433542547,0.0,0.0,0.1874108527034958,0.6437833955410102,0.38280246728158496,0.4542421569484556,1.6023401304945728,0.36370909513152766,0.4596263792568567,1.7937354322065218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20486466516246088,0.0,0.0,0.0,0.033222323739839695,0.06722123013966562,0.03250295785570127,0.0960673999923049,16.835935444108635
